顧客ID,c1_購入回数,c1_購入商品数,c1_クーポン割引,c1_購入金額,c2_購入回数,c2_購入商品数,c2_クーポン割引,c2_購入金額,c3_購入回数,c3_購入商品数,c3_クーポン割引,c3_購入金額,c4_購入回数,c4_購入商品数,c4_クーポン割引,c4_購入金額,c5_購入回数,c5_購入商品数,c5_クーポン割引,c5_購入金額,c6_購入回数,c6_購入商品数,c6_クーポン割引,c6_購入金額,c7_購入回数,c7_購入商品数,c7_クーポン割引,c7_購入金額,c8_購入回数,c8_購入商品数,c8_クーポン割引,c8_購入金額,c9_購入回数,c9_購入商品数,c9_クーポン割引,c9_購入金額,c10_購入回数,c10_購入商品数,c10_クーポン割引,c10_購入金額,c11_購入回数,c11_購入商品数,c11_クーポン割引,c11_購入金額,来店頻度,経過日数,総購入金額
257,1,1,0,710,1,1,0,1444,0,0,0,0,3,5,0,1423,3,11,0,7645,0,0,0,0,1,1,0,301,3,36,0,5458,3,7,0,4477,0,0,0,0,0,0,0,0,3,51,21458
258,3,4,0,1683,1,1,0,443,0,0,0,0,11,15,0,5054,5,7,0,1687,1,1,0,977,1,1,0,297,22,146,-338,55063,8,14,0,6823,1,2,0,1065,0,0,0,0,22,16,73092
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,4,5,0,4432,0,0,0,0,0,0,0,0,2,4,0,1601,0,0,0,0,0,0,0,0,4,16,-445,6636,3,4,0,7583,0,0,0,0,0,0,0,0,4,35,20252
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,8274,5,5,0,3734,0,0,0,0,0,0,0,0,7,46,12008
262,0,0,0,0,1,1,0,778,0,0,0,0,1,1,0,710,1,1,0,1601,1,1,0,445,1,1,0,621,9,63,0,35817,9,18,0,16319,0,0,0,0,0,0,0,0,9,3,56291
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,5143,1,4,0,356,0,0,0,0,0,0,0,0,1,58,5499
264,0,0,0,0,1,2,0,3741,0,0,0,0,4,5,0,2769,5,29,0,10750,0,0,0,0,0,0,0,0,5,117,-445,45036,5,6,0,9645,0,0,0,0,0,0,0,0,5,50,71941
265,5,5,0,1820,3,3,0,2135,0,0,0,0,14,15,0,6203,2,2,0,977,2,2,0,906,3,3,0,1196,16,131,0,47764,5,6,0,4993,1,1,0,935,0,0,0,0,16,9,66929
266,4,7,0,3200,12,13,0,5900,4,4,0,2046,7,11,0,1818,22,30,0,9453,0,0,0,0,2,2,0,530,25,203,0,50619,13,15,0,10531,0,0,0,0,1,1,0,888,25,10,84985
267,3,4,0,797,4,4,0,2598,0,0,0,0,9,9,0,1727,2,2,0,977,3,3,0,445,1,1,0,443,11,93,-356,29662,9,11,0,5070,0,0,0,0,0,0,0,0,11,7,41719
268,0,0,0,0,0,0,0,0,1,1,0,835,2,2,0,683,2,2,0,646,1,1,0,710,1,1,0,178,50,93,0,29715,5,7,0,1672,0,0,0,0,0,0,0,0,50,1,34439
269,0,0,0,0,1,1,0,2406,0,0,0,0,1,1,0,176,4,5,0,881,0,0,0,0,0,0,0,0,5,6,0,7795,2,2,0,669,0,0,0,0,0,0,0,0,5,39,11927
270,1,1,0,211,1,1,0,598,3,3,0,2863,5,5,0,1417,3,3,0,1129,1,1,0,828,3,3,0,2042,8,81,0,27479,3,3,0,1741,0,0,0,0,0,0,0,0,8,6,38308
271,4,4,0,1027,3,4,0,2212,2,2,0,1563,19,19,0,5369,17,26,0,9088,2,2,0,886,2,2,0,370,42,385,0,140066,42,70,0,49133,1,1,0,265,2,2,0,3738,42,1,213717
272,3,3,0,2753,2,3,0,3042,1,2,0,2383,2,3,0,833,7,16,0,7728,4,4,0,1510,0,0,0,0,7,136,0,42500,7,11,0,3293,0,0,0,0,0,0,0,0,7,31,64042
273,1,1,0,532,1,1,0,2454,1,1,0,710,3,3,0,1472,10,16,0,11209,1,1,0,710,0,0,0,0,11,66,-213,18615,11,26,0,15555,3,3,0,2256,0,0,0,0,11,22,53513
274,1,1,0,532,0,0,0,0,0,0,0,0,2,2,0,1209,5,6,0,4000,3,3,-178,2851,0,0,0,0,9,102,0,37017,8,9,0,6037,3,3,0,2577,2,2,0,3382,9,4,57605
275,2,2,0,1350,7,10,0,12039,2,3,0,3909,7,7,0,4213,7,15,0,6791,0,0,0,0,7,21,0,3948,7,100,0,39373,5,7,0,1750,0,0,0,0,0,0,0,0,7,7,73373
276,2,2,0,667,0,0,0,0,0,0,0,0,2,2,0,815,3,3,-178,2488,0,0,0,0,0,0,0,0,8,114,-2057,35203,8,8,-133,4710,0,0,0,0,0,0,0,0,8,44,43883
277,0,0,0,0,1,1,0,1114,0,0,0,0,4,4,0,1471,3,5,0,2669,1,2,0,780,2,2,0,356,7,97,-756,35352,7,15,-356,5293,0,0,0,0,0,0,0,0,7,10,47035
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,890,0,0,0,0,0,0,0,0,4,5,0,2080,4,4,0,9806,0,0,0,0,0,0,0,0,5,50,12776
279,3,6,0,799,2,2,0,1171,3,3,0,1542,5,5,0,1419,4,5,0,2578,0,0,0,0,4,4,0,2577,12,89,0,27299,4,6,0,2569,0,0,0,0,0,0,0,0,12,5,39954
280,2,2,0,4092,7,9,0,4995,2,2,0,1777,4,5,0,2308,6,7,0,3430,3,3,0,1508,1,1,0,354,12,96,-534,30244,6,6,0,4805,0,0,0,0,1,1,0,354,12,5,53867
281,1,1,0,178,0,0,0,0,1,1,0,283,3,4,0,919,2,2,0,890,3,3,0,2527,7,7,0,3280,30,197,0,96490,22,25,0,16456,1,1,0,390,0,0,0,0,30,1,121413
282,8,10,0,2537,2,4,0,1506,3,3,0,2224,7,11,0,2840,9,10,0,7957,1,2,0,1421,10,10,0,4090,38,615,-178,215767,38,75,0,34207,1,1,0,835,0,0,0,0,38,1,273384
283,2,2,0,1421,4,5,0,1798,5,5,0,3376,3,4,0,888,9,9,0,4445,1,1,0,710,7,9,0,2669,15,71,0,29626,3,4,0,3772,0,0,0,0,0,0,0,0,15,3,48705
284,2,2,0,268,3,4,0,1260,1,1,0,443,10,10,0,3394,6,6,0,4178,5,5,0,3248,18,50,0,17674,18,140,0,67700,17,18,0,9909,2,2,0,1011,1,1,0,1423,18,10,110508
285,1,1,0,140,1,1,0,639,1,1,0,568,2,2,0,398,12,17,0,7725,1,1,-178,407,7,13,0,2541,12,245,-106,63631,2,2,0,2614,0,0,0,0,2,2,0,3202,12,30,81865
286,2,2,0,532,0,0,0,0,1,1,0,445,2,3,0,940,6,6,0,3468,0,0,0,0,0,0,0,0,11,49,0,19954,6,6,0,3114,1,1,0,933,0,0,0,0,11,9,29386
287,2,2,0,799,0,0,0,0,4,4,0,2578,4,4,0,1496,0,0,0,0,1,1,0,710,1,1,0,356,4,39,-356,13389,4,7,0,3063,2,2,0,949,0,0,0,0,4,52,23340
288,1,2,0,178,1,1,0,710,0,0,0,0,8,10,0,5520,6,7,0,3075,1,1,0,354,1,1,0,267,8,67,0,19147,8,14,0,6986,0,0,0,0,1,1,0,356,8,44,36593
289,3,4,0,1601,1,1,0,1601,0,0,0,0,4,4,0,2441,20,22,0,12970,3,4,0,3305,0,0,0,0,40,136,0,79950,30,33,0,25590,3,3,0,3914,0,0,0,0,40,1,131372
290,2,6,0,1704,11,14,0,8493,4,6,0,5462,11,38,0,13145,7,8,0,4477,3,3,0,2140,3,5,0,2026,11,153,-178,77843,9,9,0,8326,1,1,0,924,1,1,0,1781,11,5,126321
291,1,1,0,2669,0,0,0,0,0,0,0,0,6,8,0,4352,6,12,0,7298,1,1,0,710,0,0,0,0,6,60,0,26454,3,3,0,2541,0,0,0,0,0,0,0,0,6,45,44024
292,0,0,0,0,1,1,0,940,0,0,0,0,1,2,0,534,6,8,0,2126,0,0,0,0,0,0,0,0,9,44,0,16077,6,6,0,2315,0,0,0,0,0,0,0,0,9,42,21992
293,6,6,0,5675,9,10,0,7496,4,4,0,2073,18,19,0,7008,29,41,0,20068,5,6,0,7490,1,1,0,443,29,356,-445,126162,29,43,0,19216,4,4,0,3528,0,0,0,0,29,2,199159
294,5,5,0,3423,3,4,0,4771,2,3,0,2131,6,7,0,2128,21,35,0,12559,4,4,0,3554,4,4,0,801,30,300,-445,99233,20,21,0,12277,1,1,0,222,0,0,0,0,30,1,141099
295,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,532,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,1797,1,1,0,1013,0,0,0,0,0,0,0,0,2,56,3342
296,3,3,0,5800,1,3,0,1754,0,0,0,0,2,3,0,1601,8,14,0,6796,0,0,0,0,0,0,0,0,17,110,-338,40199,17,60,0,38699,3,3,0,1155,0,0,0,0,17,2,96004
297,3,3,0,1243,0,0,0,0,2,2,0,1932,9,10,0,2087,0,0,0,0,1,1,0,532,2,2,0,710,13,55,-89,13387,3,3,0,1234,1,1,0,639,0,0,0,0,13,8,21764
298,1,1,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,5551,4,7,0,2844,5,25,0,7777,5,10,0,3980,0,0,0,0,0,0,0,0,5,50,20330
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,4445,2,2,0,2489,0,0,0,0,0,0,0,0,5,43,6934
300,3,3,0,534,3,3,0,2195,0,0,0,0,7,9,0,3975,8,19,0,9790,5,5,0,2365,1,1,0,764,8,201,0,56257,8,18,0,7766,1,1,0,2010,1,1,0,2313,8,16,87969
301,2,2,0,566,3,3,0,3729,1,1,0,356,6,6,0,2755,11,11,-62,7232,0,0,0,0,2,2,0,888,13,126,-997,49588,13,21,-1602,11786,2,2,0,2632,0,0,0,0,13,3,79532
302,1,1,0,354,4,7,0,5293,1,1,0,1066,3,4,0,1773,10,14,0,12479,0,0,0,0,1,1,0,354,25,118,0,31990,25,77,0,24684,0,0,0,0,0,0,0,0,25,10,77993
303,0,0,0,0,3,3,0,1146,3,3,0,2224,3,3,0,528,6,10,0,2901,1,1,0,194,0,0,0,0,19,105,0,22876,17,18,0,7971,2,2,0,1193,0,0,0,0,19,1,39033
304,0,0,0,0,7,14,0,5895,0,0,0,0,4,5,0,828,0,0,0,0,1,1,0,671,0,0,0,0,11,82,0,112730,2,3,0,1512,0,0,0,0,1,1,0,4094,11,13,125730
305,1,1,0,354,3,4,0,3907,1,1,0,333,1,1,0,265,5,8,0,4495,3,5,0,1066,1,1,0,265,7,72,-356,24182,7,32,0,9278,1,1,0,1423,0,0,0,0,7,20,45568
306,0,1,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5779,0,0,0,0,0,0,0,0,0,53,0,18064,0,43,0,33046,0,0,0,0,0,0,0,0,0,2,57245
307,0,0,0,0,4,5,0,3574,1,1,0,1191,4,4,0,1421,8,10,0,4130,2,2,0,710,0,0,0,0,20,150,-2886,45392,11,12,0,4480,0,0,0,0,0,0,0,0,20,7,60898
308,2,2,0,4448,0,0,0,0,0,0,0,0,3,3,0,1599,2,2,0,762,3,3,0,1935,0,0,0,0,3,18,-445,7645,2,2,0,2347,0,0,0,0,2,2,0,2667,3,54,21403
309,1,3,0,1063,3,6,0,3663,0,0,0,0,2,2,0,575,2,5,0,2493,1,1,0,354,0,0,0,0,3,40,0,14652,1,1,0,888,0,0,0,0,0,0,0,0,3,53,23688
310,4,4,0,1554,7,13,0,7777,10,11,0,7416,9,11,0,3116,16,26,0,16262,7,8,0,2263,4,4,0,541,16,171,0,46044,16,36,0,13827,2,2,0,566,0,0,0,0,16,13,99366
311,2,2,0,356,2,2,0,1704,0,0,0,0,4,4,0,867,2,2,0,675,3,3,0,1015,0,0,0,0,8,51,0,15724,6,6,0,3093,0,0,0,0,0,0,0,0,8,2,23434
312,0,0,0,0,2,2,0,1134,1,1,0,267,1,1,0,532,6,7,0,5645,0,0,0,0,0,0,0,0,7,101,-320,43413,7,97,-267,17309,0,0,0,0,0,0,0,0,7,27,68300
313,2,7,0,1779,0,0,0,0,3,7,0,4023,2,7,0,416,3,11,0,4530,0,0,0,0,1,1,0,194,3,45,0,11024,3,9,0,7845,0,0,0,0,0,0,0,0,3,51,29811
314,4,4,0,1777,3,4,0,3692,2,3,0,3111,15,22,0,8954,11,14,0,8044,3,3,0,3378,3,3,0,1455,15,188,0,70881,15,22,0,14994,1,1,0,318,0,0,0,0,15,13,116604
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,443,0,0,0,0,0,0,0,0,2,2,0,737,4,13,-178,4968,0,0,0,0,0,0,0,0,4,41,6148
316,0,0,0,0,1,1,0,689,1,1,0,267,0,0,0,0,2,2,0,888,0,0,0,0,0,0,0,0,6,20,0,4554,4,4,0,712,0,0,0,0,0,0,0,0,6,42,7110
317,1,2,0,673,1,9,0,6395,0,0,0,0,1,1,0,354,1,1,0,710,0,0,0,0,1,2,0,2756,1,4,0,4286,1,1,0,496,0,0,0,0,0,0,0,0,1,58,15670
318,3,4,0,5335,0,0,0,0,0,0,0,0,1,1,0,710,0,0,0,0,1,1,0,888,0,0,0,0,7,16,0,6605,7,8,0,6379,0,0,0,0,1,1,0,1244,7,6,21161
319,3,3,0,974,2,2,0,1152,2,3,0,1921,10,10,0,4821,12,22,0,8981,1,1,0,1066,3,11,0,2073,12,147,0,63604,12,21,0,10370,1,1,0,1423,0,0,0,0,12,14,96385
320,3,3,0,1366,4,4,0,2343,4,5,0,4977,2,2,0,530,6,8,0,4126,1,1,0,76,2,2,0,708,12,83,0,25083,12,12,0,4824,1,1,0,532,1,1,0,888,12,13,45453
321,2,6,0,3408,0,0,0,0,0,0,0,0,1,1,0,532,2,3,0,1276,0,0,0,0,0,0,0,0,10,58,0,25776,10,16,0,10322,0,0,0,0,0,0,0,0,10,40,41314
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-89,977,3,8,0,6270,0,0,0,0,0,0,0,0,3,54,7247
323,2,3,0,710,0,0,0,0,0,0,0,0,1,1,0,176,3,3,0,1955,1,1,0,710,0,0,0,0,34,109,0,32984,7,8,0,3850,0,0,0,0,0,0,0,0,34,1,40385
324,0,0,0,0,1,5,0,1333,0,0,0,0,2,2,0,317,1,2,0,890,0,0,0,0,0,0,0,0,6,40,0,7736,6,9,0,8618,0,0,0,0,0,0,0,0,6,47,18894
325,3,11,0,5679,3,3,0,1453,1,1,0,1066,3,3,0,1419,6,9,0,4253,4,4,0,1891,11,11,0,6144,11,77,-89,25732,5,7,0,2578,2,2,0,904,1,1,0,712,11,7,51831
326,4,4,0,849,1,1,0,3798,1,1,0,888,11,11,0,4338,3,3,0,1513,3,3,0,1718,3,3,0,1686,26,207,0,103724,22,27,0,15127,1,1,0,1280,1,1,0,1779,26,2,136700
327,3,4,0,1259,0,0,0,0,0,0,0,0,4,4,0,1599,2,2,0,890,1,1,0,532,3,3,0,1476,19,89,0,62361,8,23,0,8821,0,0,0,0,0,0,0,0,19,1,76938
328,5,10,0,3877,6,17,0,10741,0,0,0,0,15,22,0,7537,18,33,0,19389,4,6,-178,4320,3,3,0,2632,30,793,-1040,208894,30,78,-1424,38348,3,3,0,2131,3,3,0,2133,30,1,300002
329,3,4,0,1488,2,3,0,2397,3,5,0,4685,2,4,0,687,3,5,0,3535,0,0,0,0,0,0,0,0,3,48,0,20397,3,3,0,1895,0,0,0,0,0,0,0,0,3,38,35084
330,1,1,0,1601,0,0,0,0,0,0,0,0,2,2,0,1599,0,0,0,0,1,1,0,532,0,0,0,0,11,32,-1049,15106,11,40,0,15469,0,0,0,0,0,0,0,0,11,38,34307
331,2,3,0,1205,5,6,0,3779,1,1,0,714,3,4,0,1154,5,8,0,1772,0,0,0,0,2,2,0,1065,14,89,0,28421,4,5,0,5708,0,0,0,0,0,0,0,0,14,6,43818
332,1,2,0,534,1,1,0,846,0,0,0,0,3,3,0,1650,4,5,0,1781,0,0,0,0,1,1,0,297,9,65,0,27452,8,8,0,4226,0,0,0,0,0,0,0,0,9,42,36786
333,1,1,0,532,2,2,0,879,2,2,0,1066,0,0,0,0,5,5,0,2276,0,0,0,0,0,0,0,0,5,45,0,12078,5,7,0,9980,0,0,0,0,0,0,0,0,5,50,26811
334,1,1,0,354,3,4,0,1670,2,2,0,977,3,3,0,1241,7,12,0,4001,2,2,0,1138,0,0,0,0,14,104,0,45383,14,42,-89,32280,3,3,-267,2292,0,0,0,0,14,32,89336
335,0,0,0,0,1,1,0,942,3,3,0,2895,8,14,0,3200,7,9,0,5439,1,1,0,226,0,0,0,0,9,87,0,20504,9,18,0,5540,0,0,0,0,0,0,0,0,9,15,38746
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,4295,2,2,0,904,0,0,0,0,0,0,0,0,6,48,5199
337,5,5,0,4443,1,1,0,532,1,1,0,1601,8,9,0,3549,11,22,0,11494,3,3,0,4375,3,4,0,2131,11,281,0,119038,6,6,0,5811,0,0,0,0,0,0,0,0,11,7,152974
338,0,0,0,0,1,1,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,5359,2,2,0,1688,0,0,0,0,0,0,0,0,3,54,7549
339,1,1,0,532,3,7,0,4117,2,6,0,13330,2,2,0,1066,2,3,0,1171,0,0,0,0,0,0,0,0,11,25,0,14344,11,94,0,48902,0,0,0,0,0,0,0,0,11,4,83462
340,1,1,0,318,1,1,0,703,1,1,0,1779,10,11,0,4742,3,3,0,1652,2,2,0,1243,6,7,0,4801,13,79,0,29332,8,8,0,6771,0,0,0,0,0,0,0,0,13,4,51341
341,6,6,0,2947,1,1,0,673,2,2,0,2365,8,9,0,2443,8,9,0,8482,7,7,0,4947,11,13,0,4261,42,256,-267,97741,41,47,0,28741,1,1,0,265,1,1,0,3916,42,1,156781
342,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,886,0,0,0,0,1,2,0,886,1,1,0,532,1,5,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,1,44,4364
343,1,1,0,443,2,2,0,1218,3,3,0,1811,4,4,0,1243,14,16,0,7830,3,3,0,6076,5,8,0,5453,20,79,0,22926,5,5,0,1996,0,0,0,0,0,0,0,0,20,1,48996
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1661,0,0,0,0,0,0,0,0,3,16,0,3277,1,1,0,176,0,0,0,0,0,0,0,0,3,54,5114
345,2,2,0,1884,1,1,0,511,3,3,0,2176,7,12,0,2439,2,2,0,764,2,3,0,1597,1,1,0,318,10,92,0,25628,9,9,0,8089,1,1,0,678,0,0,0,0,10,14,44084
346,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,267,1,4,0,1955,0,0,0,0,0,0,0,0,1,37,0,20757,1,3,0,2003,0,0,0,0,0,0,0,0,1,58,24982
347,1,1,0,178,1,1,0,482,0,0,0,0,4,5,0,1658,1,1,0,888,0,0,0,0,1,1,0,443,4,9,0,3766,3,3,0,3449,0,0,0,0,0,0,0,0,4,21,10864
348,0,0,0,0,0,0,0,0,1,1,0,178,3,4,0,1298,0,0,0,0,1,1,0,1244,0,0,0,0,3,30,0,14529,3,25,0,18693,3,3,0,1786,0,0,0,0,3,54,37728
349,0,0,0,0,0,0,0,0,1,1,0,532,2,2,0,443,1,1,0,603,0,0,0,0,0,0,0,0,4,11,0,2623,1,1,0,568,0,0,0,0,0,0,0,0,4,49,4769
350,1,2,0,178,2,2,0,1585,0,0,0,0,5,9,0,1161,4,5,0,2272,0,0,0,0,0,0,0,0,9,47,0,18290,9,27,0,17345,0,0,0,0,0,0,0,0,9,4,40831
351,3,3,0,1597,3,3,0,2359,0,0,0,0,5,6,0,1770,5,11,0,7836,3,3,0,3050,2,2,0,712,5,100,-178,34289,2,2,0,655,0,0,0,0,0,0,0,0,5,38,52268
352,2,2,0,1296,1,1,0,828,3,3,0,1244,5,5,0,2074,7,15,0,7383,0,0,0,0,1,1,0,639,7,148,0,58208,7,18,0,14614,0,0,0,0,1,1,0,2313,7,4,88599
353,2,2,0,3024,3,3,0,1364,3,3,0,1779,6,7,0,3403,7,8,0,5474,2,2,0,336,0,0,0,0,15,72,0,18947,14,15,0,9937,0,0,0,0,0,0,0,0,15,4,44264
354,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,176,3,3,0,3022,0,0,0,0,0,0,0,0,6,39,0,9145,1,1,0,229,0,0,0,0,0,0,0,0,6,39,12572
355,1,1,0,211,4,6,0,5318,6,13,0,9430,21,34,0,11051,4,6,0,2493,2,2,0,940,8,11,0,5433,21,332,-2163,131637,21,40,-311,21699,3,3,0,2600,1,1,0,890,21,5,191702
356,1,2,0,178,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1512,0,0,0,0,2,2,0,1100,6,16,0,6114,2,3,0,1011,1,1,0,657,0,0,0,0,6,12,10572
357,3,5,0,1606,0,0,0,0,0,0,0,0,1,1,0,356,6,18,-97,8539,3,3,0,1704,3,3,0,1314,6,143,-1496,56020,6,19,-222,6812,0,0,0,0,0,0,0,0,6,12,76351
358,1,1,0,479,3,3,0,2320,0,0,0,0,5,7,0,2879,3,3,0,1775,3,4,0,2525,0,0,0,0,8,129,-89,45488,8,56,0,26895,2,2,0,2133,0,0,0,0,8,13,84494
359,0,0,0,0,0,0,0,0,2,2,0,1866,1,1,0,1423,11,15,-374,7733,2,2,0,708,1,1,0,292,18,212,-2457,77540,18,42,-1291,45056,2,3,0,2637,1,1,0,1957,18,4,139212
360,1,3,0,267,5,8,0,15282,3,4,0,3959,4,5,0,1488,6,7,0,3558,0,0,0,0,2,3,0,1953,12,136,0,35354,11,13,0,7455,0,0,0,0,0,0,0,0,12,10,69316
361,2,2,0,1155,1,2,0,532,4,5,0,4842,16,16,0,6612,1,1,0,710,11,12,0,5285,2,4,0,1424,17,183,-1050,88644,5,7,-356,3154,0,0,0,0,0,0,0,0,17,8,112358
362,4,4,0,1243,8,8,0,3138,0,0,0,0,1,1,0,176,16,16,0,5784,5,5,0,1549,2,2,0,356,46,273,0,81693,46,88,0,43722,1,1,0,178,0,0,0,0,46,1,137839
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,3,3,0,1864,2,4,0,3376,2,2,0,2489,4,5,0,1953,4,13,0,5075,1,1,0,710,2,2,0,1421,4,115,-106,41803,4,9,-356,8265,0,0,0,0,0,0,0,0,4,14,66956
365,2,2,0,621,1,1,0,502,3,3,0,1009,6,6,0,2694,2,2,0,1093,2,2,0,600,0,0,0,0,10,88,-276,28182,10,18,-97,22160,0,0,0,0,0,0,0,0,10,6,56861
366,3,4,0,1333,3,7,0,5245,1,1,0,532,2,2,0,1599,3,8,0,4908,0,0,0,0,2,2,0,940,3,27,0,11432,3,17,0,4322,0,0,0,0,0,0,0,0,3,54,30311
367,1,1,0,532,6,6,0,2495,1,1,0,361,11,11,0,4876,6,6,0,3264,7,8,0,7961,3,3,0,1022,19,131,0,50320,15,16,0,7164,8,8,0,3971,1,2,0,1421,19,15,83387
368,12,16,0,6311,1,1,0,1099,0,0,0,0,17,24,0,11389,17,19,0,14324,6,7,0,4126,4,4,0,1731,17,369,-445,147972,17,34,0,20595,3,3,0,3045,1,2,0,1065,17,5,211657
369,1,1,0,178,0,0,0,0,2,2,0,886,6,10,0,3574,6,6,0,4533,1,1,0,1601,6,21,0,4176,6,111,0,43985,6,8,0,3707,1,1,0,585,0,0,0,0,6,24,63225
370,0,0,0,0,7,7,0,6007,3,4,0,2842,1,2,0,699,17,20,0,10392,1,1,0,443,0,0,0,0,20,127,0,36047,10,11,0,7371,1,1,0,977,0,0,0,0,20,11,64778
371,2,3,0,1423,2,2,0,1426,2,2,0,1116,5,5,0,1688,7,17,0,9546,0,0,0,0,0,0,0,0,7,244,-650,67729,7,10,0,4133,1,1,0,443,0,0,0,0,7,29,87504
372,3,3,0,1777,8,8,0,7544,0,0,0,0,5,5,0,1675,2,4,0,1781,0,0,0,0,0,0,0,0,13,87,-2030,29649,7,9,-534,3050,2,2,-71,1198,0,0,0,0,13,7,46674
373,3,3,0,2308,5,5,0,4432,1,1,0,1066,10,11,0,4794,12,14,0,7107,7,8,0,3638,2,2,0,886,14,156,0,77635,14,21,0,12001,5,5,0,6206,0,0,0,0,14,6,120073
374,1,1,0,445,1,2,0,924,2,2,0,776,2,3,0,626,6,8,0,3734,2,2,0,1170,0,0,0,0,9,64,-445,19281,9,11,0,3846,0,0,0,0,0,0,0,0,9,7,30802
375,4,5,0,2434,1,1,0,922,0,0,0,0,1,1,-89,443,10,14,0,7464,1,1,0,621,0,0,0,0,10,165,0,40326,8,10,0,4261,0,0,0,0,0,0,0,0,10,6,56471
376,8,8,0,3000,1,1,0,511,2,2,0,680,18,21,0,7029,5,6,0,4390,4,4,0,2539,8,8,0,4488,23,145,0,61328,23,36,0,19357,2,2,0,1599,1,1,0,710,23,3,105631
377,2,2,0,390,2,2,0,1063,0,0,0,0,3,3,0,871,5,7,0,2161,1,1,-178,333,0,0,0,0,11,59,-178,16735,5,6,-712,14361,0,0,0,0,0,0,0,0,11,2,35914
378,3,3,0,2131,6,7,0,5816,4,9,0,6315,13,13,0,3837,19,21,0,11054,3,3,0,1446,5,5,0,2058,41,173,-106,61578,11,12,0,8871,1,1,0,639,0,0,0,0,41,1,103745
379,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,4356,0,0,0,0,0,0,0,0,5,25,0,5040,5,31,0,14367,5,9,0,4030,0,0,0,0,0,0,0,0,5,50,27793
380,1,1,0,354,1,1,0,1467,0,0,0,0,5,7,0,2213,6,8,0,3588,9,9,0,4992,1,4,0,1275,10,112,-463,49363,10,17,-176,9401,0,0,0,0,2,2,0,2133,10,9,74786
381,1,1,0,1601,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7113,0,0,0,0,3,5,0,3018,3,128,0,25747,3,10,0,4972,1,1,0,1387,0,0,0,0,3,54,43838
382,4,4,0,958,1,1,0,902,2,3,0,1396,8,8,0,2349,8,11,0,6115,2,2,0,2347,3,4,0,1821,10,162,0,41253,9,12,0,5277,1,1,0,890,1,1,0,1468,10,2,64776
383,4,4,0,2968,2,2,0,4491,0,0,0,0,10,13,0,5246,9,13,0,7733,2,3,0,1775,4,4,0,1136,10,47,0,16540,10,24,0,6359,2,2,0,913,1,1,0,1957,10,6,49118
384,1,1,0,354,5,7,0,3505,1,1,0,710,4,6,0,1512,13,29,-97,14730,1,1,0,532,1,1,0,318,13,223,-2023,69939,13,31,-851,17288,3,3,0,1330,0,0,0,0,13,7,110218
385,18,35,0,5038,2,3,0,2016,0,0,0,0,7,7,0,2404,2,2,0,801,2,2,0,977,0,0,0,0,18,94,0,30674,7,7,0,5456,0,0,0,0,0,0,0,0,18,24,47366
386,4,4,0,1132,6,7,0,7433,3,6,0,2577,10,14,0,7636,10,15,0,12021,9,9,0,4990,0,0,0,0,10,511,-222,163053,10,25,0,12628,2,2,0,2155,3,3,0,3912,10,29,217537
387,11,19,0,2447,2,2,0,794,2,2,0,603,8,10,0,2753,15,33,0,10548,4,4,0,1009,1,1,0,443,15,219,-1380,49684,9,10,0,3255,0,0,0,0,0,0,0,0,15,3,71536
